delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
65,0,65,65,65,0,36.1,0.00403,0.00403,0.0,65,0,0.00403,0.0,2020-12-27
65,0,65,130,130,0,72.2,0.00807,0.00807,0.0,130,0,0.00807,0.0,2020-12-28
57,0,57,187,187,0,103.9,0.0116,0.0116,0.0,187,0,0.0116,0.0,2020-12-29
0,0,0,187,187,0,103.9,0.0116,0.0116,0.0,187,0,0.0116,0.0,2020-12-30
32,0,32,219,219,0,1.7,0.01359,0.01359,0.0,219,0,0.01359,0.0,2020-12-31
30,0,30,249,249,0,1.9,0.01545,0.01545,0.0,249,0,0.01545,0.0,2021-01-01
60,0,60,309,309,0,2.4,0.01917,0.01917,0.0,309,0,0.01917,0.0,2021-01-02
90,0,90,399,399,0,3.1,0.02476,0.02476,0.0,399,0,0.02476,0.0,2021-01-03
591,0,591,990,990,0,7.7,0.06143,0.06143,0.0,990,0,0.06143,0.0,2021-01-04
1327,0,1327,2317,2317,0,11.8,0.14377,0.14377,0.0,2317,0,0.14377,0.0,2021-01-05
1615,0,1615,3932,3932,0,20.0,0.24398,0.24398,0.0,3932,0,0.24398,0.0,2021-01-06
3111,0,3111,7043,7043,0,35.8,0.43701,0.43701,0.0,7043,0,0.43701,0.0,2021-01-07
3257,0,3257,10300,10300,0,52.3,0.63911,0.63911,0.0,10300,0,0.63911,0.0,2021-01-08
4026,0,4026,14326,14326,0,72.8,0.88892,0.88892,0.0,14326,0,0.88892,0.0,2021-01-09
2183,0,2183,16509,16509,0,83.9,1.02437,1.02437,0.0,16509,0,1.02437,0.0,2021-01-10
1182,0,1182,17691,17691,0,89.9,1.09771,1.09771,0.0,17691,0,1.09771,0.0,2021-01-11
865,0,865,18556,18556,0,55.7,1.15139,1.15139,0.0,18556,0,1.15139,0.0,2021-01-12
573,0,573,19129,19129,0,57.4,1.18694,1.18694,0.0,19129,0,1.18694,0.0,2021-01-13
1105,0,1105,20234,20234,0,60.7,1.25551,1.25551,0.0,20234,0,1.25551,0.0,2021-01-14
1563,0,1563,21797,21797,0,65.4,1.35249,1.35249,0.0,21797,0,1.35249,0.0,2021-01-15
1492,0,1492,23289,23289,0,69.9,1.44507,1.44507,0.0,23289,0,1.44507,0.0,2021-01-16
859,1,860,24149,24148,1,72.5,1.49843,1.49837,6e-05,24148,1,1.49837,6e-05,2021-01-17
780,124,904,25053,24928,125,75.2,1.55452,1.54677,0.00776,24928,125,1.54677,0.00776,2021-01-18
692,55,747,25800,25620,180,63.9,1.60087,1.5897,0.01117,25620,180,1.5897,0.01117,2021-01-19
208,2,210,26010,25828,182,64.5,1.6139,1.60261,0.01129,25828,182,1.60261,0.01129,2021-01-20
94,32,126,26136,25922,214,64.8,1.62172,1.60844,0.01328,25922,214,1.60844,0.01328,2021-01-21
55,28,83,26219,25977,242,65.0,1.62687,1.61186,0.01502,25977,242,1.61186,0.01502,2021-01-22
0,60,60,26279,25977,302,65.1,1.63059,1.61186,0.01874,25977,302,1.61186,0.01874,2021-01-23
5,85,90,26369,25982,387,65.4,1.63618,1.61217,0.02401,25982,387,1.61217,0.02401,2021-01-24
22,566,588,26957,26004,953,66.8,1.67266,1.61353,0.05913,26004,953,1.61353,0.05913,2021-01-25
27,1309,1336,28293,26031,2262,53.2,1.75556,1.61521,0.14036,26031,2262,1.61521,0.14036,2021-01-26
79,1329,1408,29701,26110,3591,55.8,1.84293,1.62011,0.22282,26110,3591,1.62011,0.22282,2021-01-27
69,2899,2968,32669,26179,6490,61.4,2.02709,1.62439,0.4027,26179,6490,1.62439,0.4027,2021-01-28
48,2903,2951,35620,26227,9393,66.9,2.2102,1.62737,0.58283,26227,9393,1.62737,0.58283,2021-01-29
362,3500,3862,39482,26589,12893,74.2,2.44983,1.64983,0.8,26589,12893,1.64983,0.8,2021-01-30
48,2073,2121,41603,26637,14966,78.2,2.58144,1.65281,0.92863,26637,14966,1.65281,0.92863,2021-01-31
225,1299,1524,43127,26862,16265,78.4,2.676,1.66677,1.00923,26862,16265,1.66677,1.00923,2021-02-01
241,1241,1482,44609,27103,17506,69.3,2.76796,1.68172,1.08624,27103,17506,1.68172,1.08624,2021-02-02
425,692,1117,45726,27528,18198,71.0,2.83727,1.70809,1.12917,27528,18198,1.70809,1.12917,2021-02-03
914,1356,2270,47996,28442,19554,74.6,2.97812,1.76481,1.21331,28442,19554,1.76481,1.21331,2021-02-04
433,1464,1897,49893,28875,21018,77.5,3.09583,1.79167,1.30415,28875,21018,1.79167,1.30415,2021-02-05
568,1401,1969,51862,29443,22419,80.6,3.218,1.82692,1.39108,29443,22419,1.82692,1.39108,2021-02-06
227,889,1116,52978,29670,23308,82.3,3.28725,1.841,1.44625,29670,23308,1.841,1.44625,2021-02-07
855,615,1470,54448,30525,23923,84.6,3.37846,1.89406,1.48441,30525,23923,1.89406,1.48441,2021-02-08
1287,996,2283,56731,31812,24919,79.4,3.52012,1.97391,1.54621,31812,24919,1.97391,1.54621,2021-02-09
1438,519,1957,58688,33250,25438,68.6,3.64155,2.06314,1.57841,33250,25438,2.06314,1.57841,2021-02-10
1200,111,1311,59999,34450,25549,70.2,3.7229,2.1376,1.5853,34450,25549,2.1376,1.5853,2021-02-11
2160,64,2224,62223,36610,25613,72.8,3.8609,2.27163,1.58927,36610,25613,2.27163,1.58927,2021-02-12
1449,2,1451,63674,38059,25615,65.4,3.95093,2.36154,1.58939,38059,25615,2.36154,1.58939,2021-02-13
536,2,538,64212,38595,25617,66.0,3.98431,2.39479,1.58952,38595,25617,2.39479,1.58952,2021-02-14
909,31,940,65152,39504,25648,66.9,4.04264,2.4512,1.59144,39504,25648,2.4512,1.59144,2021-02-15
670,29,699,65851,40174,25677,67.7,4.08601,2.49277,1.59324,40174,25677,2.49277,1.59324,2021-02-16
1310,74,1384,67235,41484,25751,69.1,4.17189,2.57405,1.59783,41484,25751,2.57405,1.59783,2021-02-17
1809,62,1871,69106,43293,25813,60.8,4.28798,2.6863,1.60168,43293,25813,2.6863,1.60168,2021-02-18
1433,56,1489,70595,44726,25869,55.2,4.38037,2.77522,1.60515,44726,25869,2.77522,1.60515,2021-02-19
1699,334,2033,72628,46425,26203,56.7,4.50652,2.88064,1.62588,46425,26203,2.88064,1.62588,2021-02-20
1554,30,1584,74212,47979,26233,58.0,4.6048,2.97706,1.62774,47979,26233,2.97706,1.62774,2021-02-21
1388,139,1527,75739,49367,26372,59.2,4.69955,3.06319,1.63636,49367,26372,3.06319,1.63636,2021-02-22
1071,197,1268,77007,50438,26569,60.2,4.77823,3.12964,1.64859,50438,26569,3.12964,1.64859,2021-02-23
1929,265,2194,79201,52367,26834,61.9,4.91437,3.24934,1.66503,52367,26834,3.24934,1.66503,2021-02-24
2080,673,2753,81954,54447,27507,64.0,5.08519,3.3784,1.70679,54447,27507,3.3784,1.70679,2021-02-25
2479,312,2791,84745,56926,27819,58.7,5.25837,3.53222,1.72615,56926,27819,3.53222,1.72615,2021-02-26
1654,539,2193,86938,58580,28358,60.2,5.39444,3.63485,1.75959,58580,28358,3.63485,1.75959,2021-02-27
154,228,382,87320,58734,28586,60.5,5.41815,3.64441,1.77374,58734,28586,3.64441,1.77374,2021-02-28
816,450,1266,88586,59550,29036,55.8,5.4967,3.69504,1.80166,59550,29036,3.69504,1.80166,2021-03-01
2538,996,3534,92120,62088,30032,55.7,5.71598,3.85252,1.86347,62088,30032,3.85252,1.86347,2021-03-02
2231,1128,3359,95479,64319,31160,57.7,5.92441,3.99095,1.93346,64319,31160,3.99095,1.93346,2021-03-03
2659,1200,3859,99338,66978,32360,60.1,6.16386,4.15594,2.00792,66978,32360,4.15594,2.00792,2021-03-04
2654,1918,4572,103910,69632,34278,62.8,6.44755,4.32062,2.12693,69632,34278,4.32062,2.12693,2021-03-05
1483,1926,3409,107319,71115,36204,64.9,6.65907,4.41264,2.24643,71115,36204,4.41264,2.24643,2021-03-06
927,522,1449,108768,72042,36726,65.8,6.74898,4.47016,2.27882,72042,36726,4.47016,2.27882,2021-03-07
1480,618,2098,110866,73522,37344,60.6,6.87916,4.56199,2.31717,73522,37344,4.56199,2.31717,2021-03-08
4699,1265,5964,116830,78221,38609,63.9,7.24922,4.85356,2.39566,78221,38609,4.85356,2.39566,2021-03-09
4077,812,4889,121719,82298,39421,66.5,7.55258,5.10654,2.44605,82298,39421,5.10654,2.44605,2021-03-10
3031,952,3983,125702,85329,40373,68.7,7.79972,5.29461,2.50512,85329,40373,5.29461,2.50512,2021-03-11
5660,1514,7174,132876,90989,41887,72.6,8.24487,5.64581,2.59906,90989,41887,5.64581,2.59906,2021-03-12
2182,447,2629,135505,93171,42334,67.1,8.40799,5.7812,2.6268,93171,42334,5.7812,2.6268,2021-03-13
1340,82,1422,136927,94511,42416,67.8,8.49623,5.86434,2.63188,94511,42416,5.86434,2.63188,2021-03-14
1354,296,1650,138577,95865,42712,62.8,8.59861,5.94836,2.65025,95865,42712,5.94836,2.65025,2021-03-15
3855,772,4627,143204,99720,43484,64.9,8.88571,6.18756,2.69815,99720,43484,6.18756,2.69815,2021-03-16
4032,1469,5501,148705,103752,44953,65.2,9.22705,6.43774,2.7893,103752,44953,6.43774,2.7893,2021-03-17
4684,1695,6379,155084,108436,46648,62.8,9.62286,6.72838,2.89448,108436,46648,6.72838,2.89448,2021-03-18
5214,1993,7207,162291,113650,48641,65.7,10.07005,7.05191,3.01814,113650,48641,7.05191,3.01814,2021-03-19
3198,2656,5854,168145,116848,51297,68.1,10.43328,7.25034,3.18294,116848,51297,7.25034,3.18294,2021-03-20
2313,1516,3829,171974,119161,52813,69.7,10.67087,7.39386,3.27701,119161,52813,7.39386,3.27701,2021-03-21
2040,391,2431,174405,121201,53204,70.6,10.82171,7.52044,3.30127,121201,53204,7.52044,3.30127,2021-03-22
4393,806,5199,179604,125594,54010,70.2,11.14431,7.79302,3.35128,125594,54010,7.79302,3.35128,2021-03-23
5163,1022,6185,185789,130757,55032,72.6,11.52808,8.11338,3.4147,130757,55032,8.11338,3.4147,2021-03-24
6038,1370,7408,193197,136795,56402,75.5,11.98774,8.48804,3.49971,136795,56402,8.48804,3.49971,2021-03-25
9323,2145,11468,204665,146118,58547,80.0,12.69933,9.06652,3.6328,146118,58547,9.06652,3.6328,2021-03-26
5450,591,6041,210706,151568,59138,76.8,13.07417,9.40469,3.66947,151568,59138,9.40469,3.66947,2021-03-27
2727,77,2804,213510,154295,59215,77.8,13.24815,9.5739,3.67425,154295,59215,9.5739,3.67425,2021-03-28
3914,275,4189,217699,158209,59490,76.9,13.50808,9.81676,3.69131,158209,59490,9.81676,3.69131,2021-03-29
4904,1267,6171,223870,163113,60757,79.1,13.89098,10.12105,3.76993,163113,60757,10.12105,3.76993,2021-03-30
6591,1924,8515,232385,169704,62681,82.1,14.41933,10.53002,3.88931,169704,62681,10.53002,3.88931,2021-03-31
6690,2780,9470,241855,176394,65461,77.7,15.00694,10.94513,4.06181,176394,65461,10.94513,4.06181,2021-04-01
9657,3607,13264,255119,186051,69068,82.0,15.82996,11.54434,4.28562,186051,69068,11.54434,4.28562,2021-04-02
1272,358,1630,256749,187323,69426,82.5,15.9311,11.62327,4.30784,187323,69426,11.62327,4.30784,2021-04-03
